Scenerio,Participant,Distance,Orientation,Light,Speed,Glasses,FFT,Target
0,0,50,10,250,1,0,0.00082641,1
0,1,50,15,1250,1,1,0.000801475,1
2,1,50,10,50,1,0,0.000839477,1
0,0,60,15,250,1,2,0.000759224,1
0,0,65,15,50,1,1,0.000770396,1
0,2,60,5,1250,0,1,0.000756476,1
0,2,50,15,1250,0,1,0.000771255,1
0,3,50,0,50,0,3,0.000701477,1
1,2,50,0,250,1,0,0.000810595,1
2,0,55,5,1250,0,1,0.000803369,1
0,1,50,5,50,2,0,0.000709373,1
2,0,55,10,600,0,3,0.000706563,1
0,0,50,5,450,1,1,0.000778802,1
2,2,50,15,600,0,1,0.000732268,1
1,1,55,5,150,0,2,0.000702275,1
0,0,55,5,450,1,1,0.000775251,1
2,0,60,0,150,1,0,0.000854964,1
2,3,55,10,150,0,1,0.000777636,1
0,2,55,15,1450,1,0,0.000868531,1
0,2,50,15,50,0,0,0.000817924,1
2,0,65,5,1250,0,0,0.000856548,1
2,0,55,10,250,0,1,0.000824592,1
1,1,50,0,450,0,3,0.000703224,1
0,2,55,0,30,1,1,0.000777334,1
0,0,65,15,50,0,0,0.00078148,1
0,0,55,0,600,0,0,0.000800322,1
0,2,60,0,1000,1,0,0.000842224,1
2,1,60,0,600,1,0,0.000843342,1
2,1,50,0,1250,1,2,0.000828758,1
0,0,65,15,1000,0,1,0.000768222,1
0,1,55,15,1000,1,1,0.000764694,1
2,1,65,0,50,0,0,0.000798421,1
0,1,50,15,1250,0,1,0.000795527,1
2,0,50,5,250,2,1,0.000758638,1
0,2,50,10,1250,2,1,0.00084047,1
0,1,60,0,1250,0,0,0.000805398,1
2,2,65,15,600,0,0,0.000773458,1
2,0,55,0,50,1,1,0.00086702,1
1,1,55,15,1000,1,0,0.000840601,1
1,2,50,5,250,1,1,0.000790968,1
0,2,50,5,1000,0,0,0.000844154,1
1,0,50,35,1450,1,0,0.000761782,1
0,1,50,0,250,0,0,0.000864784,1
1,3,55,0,30,0,2,0.000780303,1
0,2,65,10,1250,0,0,0.000797411,1
2,2,55,30,1000,0,1,0.000790335,1
2,2,55,5,600,1,1,0.000773505,1
2,2,55,10,1450,1,0,0.000867776,1
2,0,50,15,1250,1,0,0.000817147,1
1,0,50,5,600,1,1,0.000792365,1
2,1,55,15,1450,1,0,0.000775929,1
0,1,60,0,600,0,0,0.000872742,1
2,0,55,5,250,1,0,0.000827381,1
2,0,55,15,1250,0,1,0.000756597,1
2,0,55,0,50,1,0,0.000813602,1
1,1,55,0,50,1,4,0.000700171,1
1,2,55,0,450,0,0,0.000866329,1
2,1,60,10,250,0,0,0.000865188,1
2,2,55,15,50,2,0,0.000771145,1
0,3,55,15,250,0,1,0.00077584,1
0,0,50,5,600,0,2,0.000756318,1
0,0,55,5,30,0,1,0.000873401,1
0,2,55,5,30,1,0,0.000849695,1
2,0,55,0,30,1,1,0.000834584,1
0,2,55,0,250,1,0,0.000855903,1
1,1,60,10,1450,1,0,0.000829464,1
2,0,50,5,1250,1,0,0.000856782,1
0,0,75,10,50,1,0,0.000702314,1
1,2,50,10,50,1,2,0.0007633,1
1,1,55,10,50,0,1,0.00079225,1
0,1,50,10,450,1,0,0.000867962,1
2,2,50,5,250,1,2,0.000759271,1
2,2,65,0,250,0,0,0.000713642,1
0,2,55,5,1000,1,1,0.000818532,1
0,1,50,0,450,1,1,0.000763527,1
1,3,50,0,1250,0,0,0.000723046,1
0,2,55,30,1000,1,1,0.000772697,1
2,1,55,10,50,0,0,0.000825841,1
1,2,50,45,150,1,0,0.000844846,1
0,1,50,0,1250,0,1,0.000847282,1
1,1,60,10,50,1,1,0.000776677,1
0,2,50,0,250,2,30,0.000705234,1
1,0,55,15,1450,0,4,0.000705068,1
0,1,60,15,150,0,0,0.000855082,1
2,2,50,0,250,1,10,0.000840413,1
2,2,55,0,1000,0,2,0.000783231,1
2,0,50,5,450,0,0,0.000805563,1
0,0,55,10,1450,0,1,0.00077952,1
1,0,55,5,50,1,1,0.000785081,1
0,2,50,0,50,1,0,0.000867429,1
2,0,50,5,50,1,1,0.000802335,1
2,1,60,15,150,0,0,0.00078598,1
2,2,55,0,50,0,1,0.000799666,1
2,0,50,15,600,0,1,0.00079739,1
1,2,55,5,450,0,1,0.000766662,1
1,1,50,0,1450,0,2,0.000763677,1
0,2,50,5,30,0,1,0.000790562,1
1,0,55,10,1450,1,0,0.000864514,1
0,1,60,0,30,0,1,0.00078383,1
2,0,55,15,1450,1,0,0.000857912,1
1,1,50,15,1000,1,1,0.000817363,1
0,1,60,0,1250,1,0,0.000832232,1
2,2,50,0,1450,0,0,0.000800315,1
0,0,50,10,600,1,0,0.000856905,1
2,1,55,10,450,0,0,0.00084302,1
1,1,55,15,1000,0,0,0.000851138,1
2,1,55,15,150,1,1,0.000822611,1
1,1,55,0,1450,0,2,0.000778616,1
2,3,65,60,1250,2,2,0.000149493,0
0,3,65,35,600,2,0,0.000293477,0
2,3,70,10,50,2,4,0.000634735,0
0,3,55,40,600,2,1,0.000626024,0
1,3,70,25,600,2,2,0.000550319,0
2,3,70,40,450,2,3,0.000418652,0
1,3,50,20,1000,0,3,0.000365482,0
